elapsed_min,day_index,vehicle_count,avg_speed,vehicle_density,ir_lane1,ir_lane2,ir_lane3,ir_lane4,ir_active_lanes,minute_of_hour,hour_sin,hour_cos,vehicle_count_lag1,vehicle_count_lag5,vehicle_count_mean5m,vehicle_count_mean15m,avg_speed_lag1,avg_speed_lag5,avg_speed_mean5m,avg_speed_mean15m,vehicle_density_lag1,vehicle_density_lag5,vehicle_density_mean5m,vehicle_density_mean15m,ir_active_lanes_lag1,ir_active_lanes_lag5,ir_active_lanes_mean5m,ir_active_lanes_mean15m,target_bottleneck,target_level,naive_current_bottleneck
30,0,122,38.2,43,0,0,1,0,1,30,0.7933533402912352,-0.6087614290087207,178.0,197.0,150.6,139.86666666666667,21.4,43.6,31.759999999999998,32.333333333333336,56.0,68.0,48.0,50.93333333333333,2.0,3.0,1.6,1.9333333333333333,0,1,0
31,0,186,25.1,45,0,1,0,1,2,31,0.7906895737438432,-0.6122172800344495,122.0,173.0,153.2,146.93333333333334,38.2,26.0,31.579999999999995,32.06666666666667,43.0,33.0,50.4,51.733333333333334,1.0,2.0,1.6,1.8666666666666667,1,2,0
32,0,169,22.0,30,0,0,1,0,1,32,0.788010753606722,-0.6156614753256583,186.0,180.0,151.0,153.4,25.1,35.4,28.9,31.15333333333333,45.0,36.0,49.2,49.266666666666666,2.0,1.0,1.6,1.7333333333333334,1,3,0
33,0,56,48.5,63,0,1,1,0,2,33,0.7853169308807448,-0.6190939493098341,169.0,100.0,142.2,149.0,22.0,37.8,31.04,32.18666666666666,30.0,72.0,47.4,49.13333333333333,1.0,2.0,1.6,1.7333333333333334,1,2,0
34,0,127,49.0,42,0,1,0,1,2,34,0.782608156852414,-0.6225146366376194,56.0,178.0,132.0,149.46666666666667,48.5,21.4,36.56,33.54,63.0,56.0,44.6,49.06666666666667,2.0,2.0,1.6,1.8,1,2,0
35,0,199,44.3,55,1,0,1,0,2,35,0.7798844830928817,-0.6259234721840591,127.0,122.0,147.4,153.8,49.0,38.2,37.78,33.93333333333333,42.0,43.0,47.0,50.0,2.0,1.0,1.8,1.8,0,1,0
36,0,99,29.1,72,0,0,1,0,1,36,0.777145961456971,-0.6293203910498373,199.0,186.0,130.0,153.06666666666666,44.3,25.1,38.58,34.26,55.0,45.0,52.4,52.06666666666667,2.0,2.0,1.6,1.7333333333333334,0,1,1
37,0,162,22.9,78,1,1,1,1,4,37,0.7743926440821857,-0.632705328562516,99.0,169.0,128.6,155.86666666666667,29.1,22.0,38.76,33.86666666666667,72.0,30.0,62.0,53.06666666666667,1.0,1.0,2.2,1.8666666666666667,1,3,1
38,0,100,40.5,84,0,1,0,1,2,38,0.7716245833877202,-0.6360782202777637,162.0,56.0,137.4,149.2,22.9,48.5,37.160000000000004,34.5,78.0,63.0,66.2,54.86666666666667,4.0,2.0,2.2,1.9333333333333333,0,0,1
39,0,88,33.2,76,1,1,1,0,3,39,0.7688418320734596,-0.6394390019805847,100.0,127.0,129.6,142.4,40.5,49.0,34.0,34.46666666666667,84.0,42.0,73.0,56.86666666666667,2.0,2.0,2.4,2.0,1,3,1
40,0,94,23.7,33,1,0,0,1,2,40,0.7660444431189783,-0.642787609686539,88.0,199.0,108.6,135.53333333333333,33.2,44.3,29.880000000000003,33.14,76.0,55.0,68.6,54.53333333333333,3.0,2.0,2.4,1.9333333333333333,0,0,0
41,0,95,34.9,58,1,1,0,1,3,41,0.7632324697825288,-0.646123979642964,94.0,99.0,107.8,130.33333333333334,23.7,29.1,31.04,33.733333333333334,33.0,72.0,65.8,56.2,2.0,1.0,2.8,2.0,0,1,0
42,0,144,21.0,77,0,0,0,0,0,42,0.760405965600031,-0.6494480483301835,95.0,162.0,104.2,127.93333333333334,34.9,22.9,30.660000000000004,32.77333333333333,58.0,78.0,65.6,58.93333333333333,3.0,4.0,2.0,1.9333333333333333,1,3,1
43,0,144,47.3,42,1,0,1,0,2,43,0.7575649843840495,-0.6527597524627226,144.0,100.0,113.0,130.86666666666667,21.0,40.5,32.019999999999996,33.406666666666666,77.0,84.0,57.2,56.93333333333333,0.0,2.0,2.0,1.9333333333333333,0,1,0
44,0,54,27.8,80,1,0,1,0,2,44,0.7547095802227721,-0.6560590289905072,144.0,88.0,106.2,122.6,47.3,33.2,30.939999999999998,33.833333333333336,42.0,76.0,58.0,58.53333333333333,2.0,3.0,1.8,1.9333333333333333,0,1,1
45,0,194,39.9,32,0,0,0,1,1,45,0.7518398074789774,-0.6593458151000688,54.0,94.0,126.2,127.4,27.8,23.7,34.18,33.946666666666665,80.0,33.0,57.8,57.8,2.0,2.0,1.6,1.9333333333333333,0,0,0
46,0,111,29.4,50,1,0,0,0,1,46,0.748955720789002,-0.6626200482157376,194.0,95.0,129.4,122.4,39.9,34.9,33.08,34.233333333333334,32.0,58.0,56.2,58.13333333333333,1.0,3.0,1.2,1.8666666666666667,1,2,0
47,0,158,35.6,90,1,1,0,1,3,47,0.7460573750616996,-0.6658816660008342,111.0,144.0,132.2,121.66666666666667,29.4,21.0,36.0,35.14,50.0,77.0,58.8,62.13333333333333,1.0,0.0,1.8,2.0,0,0,1
48,0,136,36.4,42,0,0,0,0,0,48,0.7431448254773942,-0.6691306063588582,158.0,144.0,130.6,127.0,35.6,47.3,33.82,34.333333333333336,90.0,42.0,58.8,60.733333333333334,3.0,2.0,1.4,1.8666666666666667,0,1,0
49,0,155,25.5,36,0,1,1,0,2,49,0.7402181274868322,-0.6723668074346679,136.0,54.0,150.8,128.86666666666667,36.4,27.8,33.36,32.766666666666666,42.0,80.0,50.0,60.333333333333336,0.0,2.0,1.4,1.8666666666666667,1,2,0
50,0,178,49.1,42,1,0,1,0,2,50,0.7372773368101241,-0.6755902076156602,155.0,194.0,147.6,127.46666666666667,25.5,39.9,35.2,33.086666666666666,36.0,32.0,52.0,59.46666666666667,2.0,1.0,1.6,1.8666666666666667,0,1,0
51,0,150,43.3,68,1,0,0,0,1,51,0.7343225094356858,-0.6788007455329416,178.0,111.0,155.4,130.86666666666667,49.1,29.4,37.98,34.03333333333333,42.0,50.0,55.6,59.2,2.0,1.0,1.6,1.8666666666666667,1,3,1
52,0,85,48.2,46,0,0,0,1,1,52,0.7313537016191706,-0.6819983600624984,150.0,158.0,140.8,125.73333333333333,43.3,35.6,40.5,35.72,68.0,90.0,46.8,57.06666666666667,1.0,3.0,1.2,1.6666666666666667,1,2,0
53,0,132,46.8,56,1,0,0,1,2,53,0.7283709698824006,-0.6851829903263589,85.0,136.0,140.0,127.86666666666666,48.2,36.4,42.58,36.14,46.0,42.0,49.6,55.2,1.0,0.0,1.6,1.6666666666666667,1,2,0
54,0,179,37.9,67,1,0,1,1,3,54,0.7253743710122875,-0.6883545756937541,132.0,155.0,144.8,133.93333333333334,46.8,25.5,45.059999999999995,36.45333333333333,56.0,36.0,55.8,54.6,2.0,2.0,1.8,1.6666666666666667,1,2,1
55,0,58,47.7,68,0,1,0,0,1,55,0.7223639620597556,-0.6915130557822693,179.0,178.0,120.8,131.53333333333333,37.9,49.1,44.78,38.05333333333333,67.0,42.0,61.0,56.93333333333333,3.0,2.0,1.6,1.6,0,1,0
56,0,192,22.7,71,1,1,1,1,4,56,0.7193398003386511,-0.6946583704589974,58.0,150.0,129.2,138.0,47.7,43.3,40.660000000000004,37.24,68.0,68.0,61.6,57.8,1.0,1.0,2.2,1.6666666666666667,1,3,1
57,0,138,25.9,64,0,0,1,0,1,57,0.7163019434246544,-0.69779045984168,192.0,85.0,139.8,137.6,22.7,48.2,36.2,37.56666666666667,71.0,46.0,65.2,56.93333333333333,4.0,1.0,2.2,1.7333333333333334,0,0,1
58,0,103,21.4,68,1,0,1,1,3,58,0.7132504491541816,-0.7009092642998509,138.0,132.0,134.0,134.86666666666667,25.9,46.8,31.119999999999997,35.84,64.0,56.0,67.6,58.666666666666664,1.0,2.0,2.4,1.8,1,2,1
59,0,199,29.8,72,0,1,0,1,2,59,0.7101853756232855,-0.7040147244559682,103.0,179.0,138.0,144.53333333333333,21.4,37.9,29.5,35.973333333333336,68.0,67.0,68.6,58.13333333333333,3.0,3.0,2.2,1.8,1,3,1
60,0,106,31.7,47,0,1,1,1,3,0,0.7071067811865476,-0.7071067811865475,199.0,58.0,147.6,138.66666666666666,29.8,47.7,26.3,35.42666666666666,72.0,68.0,64.4,59.13333333333333,2.0,1.0,2.6,1.9333333333333333,0,1,0
61,0,77,28.1,82,1,1,1,1,4,1,0.7040147244559682,-0.7101853756232854,106.0,192.0,124.6,136.4,31.7,22.7,27.380000000000003,35.34,47.0,71.0,66.6,61.266666666666666,3.0,4.0,2.6,2.1333333333333333,1,2,1
62,0,101,44.9,35,0,0,1,1,2,2,0.700909264299851,-0.7132504491541815,77.0,138.0,117.2,132.6,28.1,25.9,31.179999999999996,35.96,82.0,64.0,60.8,57.6,4.0,1.0,2.8,2.066666666666667,1,2,0
63,0,178,30.7,56,0,0,0,1,1,3,0.6977904598416802,-0.7163019434246543,101.0,103.0,132.2,135.4,44.9,21.4,33.04,35.580000000000005,35.0,68.0,58.4,58.53333333333333,2.0,3.0,2.4,2.1333333333333333,1,2,1
64,0,116,28.4,90,0,1,1,0,2,4,0.6946583704589975,-0.719339800338651,178.0,199.0,115.6,132.8,30.7,29.8,32.760000000000005,35.77333333333333,56.0,72.0,62.0,62.13333333333333,1.0,2.0,2.4,2.1333333333333333,0,0,1
65,0,192,36.3,54,0,1,0,1,2,5,0.6915130557822695,-0.7223639620597555,116.0,106.0,132.8,133.73333333333332,28.4,31.7,33.67999999999999,34.919999999999995,90.0,47.0,63.4,62.93333333333333,2.0,3.0,2.2,2.1333333333333333,0,1,0
66,0,52,24.2,52,1,0,0,0,1,6,0.6883545756937542,-0.7253743710122874,192.0,77.0,127.8,127.2,36.3,28.1,32.89999999999999,33.64666666666667,54.0,82.0,57.4,61.86666666666667,2.0,4.0,1.6,2.1333333333333333,0,1,1
67,0,78,44.1,69,0,0,1,1,2,7,0.685182990326359,-0.7283709698824005,52.0,101.0,123.2,126.73333333333333,24.2,44.9,32.739999999999995,33.37333333333333,52.0,35.0,64.2,63.4,1.0,2.0,1.6,2.2,1,3,1
68,0,77,22.2,56,1,0,1,1,3,8,0.6819983600624986,-0.7313537016191705,78.0,178.0,103.0,123.06666666666666,44.1,30.7,31.04,31.73333333333333,69.0,56.0,64.2,63.4,2.0,1.0,2.0,2.2666666666666666,0,1,1
69,0,180,49.6,37,1,0,1,1,3,9,0.6788007455329417,-0.7343225094356856,77.0,116.0,115.8,123.13333333333334,22.2,28.4,35.279999999999994,32.513333333333335,56.0,90.0,53.6,61.4,3.0,2.0,2.2,2.2666666666666666,0,1,0
70,0,154,43.2,45,1,0,1,1,3,10,0.6755902076156604,-0.737277336810124,180.0,192.0,108.2,129.53333333333333,49.6,36.3,36.66,32.21333333333333,37.0,54.0,51.8,59.86666666666667,3.0,2.0,2.4,2.4,1,2,0
71,0,64,26.0,32,0,0,1,1,2,11,0.672366807434668,-0.7402181274868321,154.0,52.0,110.6,121.0,43.2,24.2,37.019999999999996,32.43333333333333,45.0,52.0,47.8,57.266666666666666,3.0,1.0,2.6,2.2666666666666666,1,2,0
72,0,65,20.2,77,1,0,0,1,2,12,0.6691306063588585,-0.743144825477394,64.0,78.0,108.0,116.13333333333334,26.0,44.1,32.239999999999995,32.05333333333333,32.0,69.0,49.4,58.13333333333333,2.0,2.0,2.6,2.3333333333333335,0,1,1
73,0,102,44.5,54,0,1,1,0,2,13,0.6658816660008343,-0.7460573750616994,65.0,77.0,113.0,116.06666666666666,20.2,22.2,36.7,33.593333333333334,77.0,56.0,49.0,57.2,2.0,3.0,2.4,2.2666666666666666,1,2,0
74,0,84,41.2,65,1,0,0,1,2,14,0.6626200482157377,-0.748955720789002,102.0,180.0,93.8,108.4,44.5,49.6,35.019999999999996,34.35333333333333,54.0,37.0,54.6,56.733333333333334,2.0,3.0,2.2,2.2666666666666666,1,2,0
75,0,179,41.9,83,1,1,1,1,4,15,0.659345815100069,-0.7518398074789773,84.0,154.0,98.8,113.26666666666667,41.2,43.2,34.760000000000005,35.03333333333333,65.0,45.0,62.2,59.13333333333333,2.0,3.0,2.4,2.3333333333333335,1,2,1
76,0,125,43.1,74,1,0,0,0,1,16,0.6560590289905073,-0.754709580222772,179.0,64.0,111.0,116.46666666666667,41.9,26.0,38.18,36.03333333333333,83.0,32.0,70.6,58.6,4.0,2.0,2.2,2.1333333333333333,0,1,1
77,0,92,22.2,41,1,1,1,0,3,17,0.6527597524627227,-0.7575649843840494,125.0,65.0,116.4,115.86666666666666,43.1,20.2,38.58,34.519999999999996,74.0,77.0,63.4,59.0,1.0,2.0,2.4,2.2,0,1,0
78,0,143,30.8,63,0,1,0,0,1,18,0.6494480483301838,-0.7604059656000308,92.0,102.0,124.6,113.53333333333333,22.2,44.5,35.839999999999996,34.526666666666664,41.0,54.0,65.2,59.46666666666667,3.0,2.0,2.2,2.2,0,1,1
79,0,189,23.5,60,1,1,0,1,3,19,0.6461239796429642,-0.7632324697825287,143.0,84.0,145.6,118.4,30.8,41.2,32.3,34.2,63.0,65.0,64.2,57.46666666666667,1.0,2.0,2.4,2.2666666666666666,1,2,1
80,0,131,45.9,75,0,0,0,1,1,20,0.6427876096865391,-0.7660444431189781,189.0,179.0,136.0,114.33333333333333,23.5,41.9,33.1,34.84,60.0,83.0,62.6,58.86666666666667,3.0,4.0,1.8,2.2,0,1,1
81,0,173,38.7,49,1,0,1,0,2,21,0.6394390019805848,-0.7688418320734595,131.0,125.0,145.6,122.4,45.9,43.1,32.22,35.806666666666665,75.0,74.0,57.6,58.666666666666664,1.0,1.0,2.0,2.2666666666666666,0,1,0
82,0,73,29.9,32,1,0,0,1,2,22,0.6360782202777638,-0.7716245833877201,173.0,92.0,141.8,122.06666666666666,38.7,22.2,33.760000000000005,34.86,49.0,41.0,55.8,56.2,2.0,3.0,1.8,2.2666666666666666,0,1,0
83,0,160,21.9,43,0,1,1,1,3,23,0.6327053285625162,-0.7743926440821856,73.0,143.0,145.2,127.6,29.9,30.8,31.98,34.84,32.0,63.0,51.8,55.333333333333336,2.0,1.0,2.2,2.2666666666666666,0,0,0
84,0,151,29.3,55,1,1,1,0,3,24,0.6293203910498374,-0.7771459614569709,160.0,189.0,137.6,125.66666666666667,21.9,23.5,33.14,33.486666666666665,43.0,60.0,50.8,56.53333333333333,3.0,3.0,2.2,2.2666666666666666,0,1,1
85,0,185,29.8,41,1,0,1,0,2,25,0.6259234721840592,-0.7798844830928817,151.0,131.0,148.4,127.73333333333333,29.3,45.9,29.919999999999998,32.593333333333334,55.0,75.0,44.0,56.266666666666666,3.0,1.0,2.4,2.2,1,3,0
86,0,86,41.9,50,0,1,1,0,2,26,0.6225146366376196,-0.7826081568524139,185.0,173.0,131.0,129.2,29.8,38.7,30.560000000000002,33.653333333333336,41.0,49.0,44.2,57.46666666666667,2.0,2.0,2.4,2.2,1,2,0
87,0,166,39.1,56,1,1,1,0,3,27,0.6190939493098342,-0.7853169308807447,86.0,73.0,149.6,135.93333333333334,41.9,29.9,32.4,34.913333333333334,50.0,32.0,49.0,56.06666666666667,2.0,2.0,2.6,2.2666666666666666,0,1,0
88,0,145,46.6,38,1,0,1,1,3,28,0.6156614753256584,-0.7880107536067219,166.0,160.0,146.6,138.8,39.1,21.9,37.339999999999996,35.053333333333335,56.0,43.0,48.0,55.0,3.0,3.0,2.6,2.3333333333333335,0,1,0
89,0,91,34.2,41,0,1,0,0,1,29,0.6122172800344496,-0.7906895737438431,145.0,151.0,134.6,139.26666666666668,46.6,29.3,38.32000000000001,34.586666666666666,38.0,55.0,45.2,53.4,3.0,3.0,2.2,2.2666666666666666,1,2,0
90,0,84,23.6,85,1,0,0,0,1,30,0.6087614290087209,-0.793353340291235,91.0,185.0,114.4,132.93333333333334,34.2,29.8,37.08,33.36666666666667,41.0,41.0,54.0,53.53333333333333,1.0,2.0,2.0,2.066666666666667,1,2,1
91,0,70,41.4,87,1,1,0,0,2,31,0.6052939880428945,-0.7960020025346219,84.0,86.0,111.2,129.26666666666668,23.6,41.9,36.980000000000004,33.25333333333333,85.0,50.0,61.4,54.4,1.0,2.0,2.0,2.1333333333333333,1,2,1
92,0,108,42.8,48,0,1,1,1,3,32,0.6018150231520486,-0.7986355100472926,70.0,166.0,99.6,130.33333333333334,41.4,39.1,37.72,34.626666666666665,87.0,56.0,59.8,54.86666666666667,2.0,3.0,2.0,2.1333333333333333,1,3,0
93,0,60,36.8,47,0,0,1,1,2,33,0.5983246005706588,-0.8012538126910608,108.0,145.0,82.6,124.8,42.8,46.6,35.760000000000005,35.026666666666664,48.0,38.0,61.6,53.8,3.0,3.0,1.8,2.2,1,2,0
94,0,198,43.1,70,1,0,1,1,3,34,0.5948227867513413,-0.8038568606172173,60.0,91.0,104.0,125.4,36.8,34.2,37.54,36.333333333333336,47.0,41.0,67.4,54.46666666666667,2.0,1.0,2.2,2.2,0,1,1
95,0,122,34.8,66,1,1,0,0,2,35,0.5913096483635822,-0.8064446042674827,198.0,84.0,111.6,124.8,43.1,23.6,39.779999999999994,35.593333333333334,70.0,85.0,63.6,53.86666666666667,3.0,1.0,2.4,2.2666666666666666,1,2,1
96,0,197,35.7,69,1,1,1,0,3,36,0.5877852522924732,-0.8090169943749473,122.0,70.0,137.0,126.4,34.8,41.4,38.64,35.39333333333333,66.0,87.0,60.0,55.2,2.0,2.0,2.6,2.3333333333333335,1,2,1
97,0,113,32.8,90,1,1,1,0,3,37,0.5842496656374344,-0.8115739819650123,197.0,108.0,138.0,129.06666666666666,35.7,42.8,36.64,35.58666666666667,69.0,48.0,68.4,59.06666666666667,3.0,3.0,2.6,2.4,1,2,1
98,0,117,20.8,46,0,0,1,0,1,38,0.5807029557109399,-0.8141155183563191,113.0,60.0,149.4,126.2,32.8,36.8,33.44,35.513333333333335,90.0,47.0,68.2,59.266666666666666,3.0,2.0,2.4,2.2666666666666666,1,2,1
99,0,83,23.2,37,0,0,0,0,0,39,0.5771451900372336,-0.8166415551616789,117.0,198.0,126.4,121.66666666666667,20.8,43.1,29.46,35.10666666666667,46.0,70.0,61.6,58.06666666666667,1.0,3.0,1.8,2.066666666666667,0,1,0
100,0,64,20.9,66,0,0,1,1,2,40,0.5735764363510464,-0.8191520442889917,83.0,122.0,114.8,113.6,23.2,34.8,26.68,34.513333333333335,37.0,66.0,61.6,59.733333333333334,0.0,2.0,1.8,2.066666666666667,1,3,1
101,0,147,39.1,63,1,1,0,1,3,41,0.5699967625963032,-0.8216469379421636,64.0,197.0,104.8,117.66666666666667,20.9,35.7,27.360000000000003,34.32666666666667,66.0,69.0,60.4,60.6,2.0,3.0,1.8,2.1333333333333333,1,3,1
102,0,158,29.4,73,1,0,0,1,2,42,0.5664062369248332,-0.8241261886220155,147.0,113.0,113.8,117.13333333333334,39.1,32.8,26.68,33.68,63.0,90.0,57.0,61.733333333333334,3.0,3.0,1.6,2.066666666666667,0,1,1
103,0,155,35.3,80,1,1,1,1,4,43,0.5628049276950684,-0.8265897491271887,158.0,117.0,121.4,117.8,29.4,20.8,29.580000000000002,32.92666666666666,73.0,46.0,63.8,64.53333333333333,2.0,1.0,2.2,2.1333333333333333,0,1,1
104,0,191,47.2,61,0,1,1,0,2,44,0.5591929034707469,-0.8290375725550416,155.0,83.0,143.0,124.46666666666667,35.3,23.2,34.38,33.79333333333334,80.0,37.0,68.6,65.86666666666666,4.0,0.0,2.6,2.2,1,2,0
105,0,127,27.5,84,1,1,1,1,4,45,0.5555702330196025,-0.831469612302545,191.0,64.0,155.6,127.33333333333333,47.2,20.9,35.7,34.053333333333335,61.0,66.0,72.2,65.8,2.0,2.0,3.0,2.4,0,1,1
106,0,188,32.3,81,1,0,1,0,2,46,0.5519369853120579,-0.8338858220671683,127.0,147.0,163.8,135.2,27.5,39.1,34.339999999999996,33.446666666666665,84.0,63.0,75.8,65.4,4.0,3.0,2.8,2.4,0,1,1
107,0,54,42.7,66,1,1,0,0,2,47,0.5482932295199138,-0.8362861558477596,188.0,158.0,143.0,131.6,32.3,29.4,37.0,33.440000000000005,81.0,73.0,74.4,66.6,2.0,2.0,2.8,2.3333333333333335,0,1,0
108,0,178,26.9,34,1,0,0,1,2,48,0.544639035015027,-0.8386705679454242,54.0,155.0,147.6,139.46666666666667,42.7,35.3,35.32000000000001,32.78,66.0,80.0,65.2,65.73333333333333,2.0,4.0,2.4,2.3333333333333335,0,1,0
109,0,78,22.3,71,0,1,0,0,1,49,0.540974471367994,-0.8410390129643924,178.0,191.0,125.0,131.46666666666667,26.9,47.2,30.339999999999996,31.393333333333334,34.0,61.0,67.2,65.8,2.0,2.0,2.2,2.2,1,3,1
110,0,174,28.7,47,0,0,1,0,1,50,0.5372996083468238,-0.8433914458128857,78.0,127.0,134.4,134.93333333333334,22.3,27.5,30.579999999999995,30.986666666666668,71.0,84.0,59.8,64.53333333333333,1.0,4.0,1.6,2.1333333333333333,1,2,0
111,0,186,24.8,36,1,0,0,1,2,51,0.5336145159156117,-0.8457278217039732,174.0,188.0,134.0,134.2,28.7,32.3,29.080000000000002,30.26,47.0,81.0,50.8,62.333333333333336,1.0,2.0,1.6,2.066666666666667,0,0,0
112,0,149,47.9,60,0,0,0,1,1,52,0.529919264233205,-0.848048096156426,186.0,54.0,153.0,136.6,24.8,42.7,30.119999999999997,31.266666666666666,36.0,66.0,49.6,60.333333333333336,2.0,2.0,1.4,1.9333333333333333,1,3,0
113,0,127,44.2,57,1,0,0,0,1,53,0.5262139236518698,-0.8503522249955627,149.0,178.0,142.8,137.26666666666668,47.9,26.9,33.58,32.82666666666667,60.0,34.0,54.2,61.06666666666667,1.0,2.0,1.2,1.9333333333333333,1,2,0
114,0,158,39.0,88,0,1,0,1,2,54,0.5224985647159489,-0.8526401643540922,127.0,78.0,158.8,142.26666666666668,44.2,22.3,36.92,33.88,57.0,71.0,57.6,64.46666666666667,1.0,1.0,1.4,2.066666666666667,0,0,1
115,0,135,46.1,85,1,1,0,0,2,55,0.5187732581605218,-0.8549118706729464,158.0,174.0,151.0,147.0,39.0,28.7,40.4,35.559999999999995,88.0,47.0,65.2,65.73333333333333,2.0,1.0,1.6,2.066666666666667,1,2,1
116,0,120,44.1,39,0,1,1,1,3,56,0.515038074910054,-0.8571673007021124,135.0,186.0,137.8,145.2,46.1,24.8,44.260000000000005,35.89333333333333,85.0,36.0,65.8,64.13333333333334,2.0,2.0,1.8,2.066666666666667,0,0,0
117,0,174,25.6,80,0,0,1,0,1,57,0.5112930860770522,-0.8594064115014527,120.0,149.0,142.8,146.26666666666668,44.1,47.9,39.800000000000004,35.64,39.0,60.0,69.8,64.6,3.0,1.0,1.8,2.0,0,1,1
118,0,159,46.8,81,1,0,0,0,1,58,0.5075383629607044,-0.8616291604415256,174.0,127.0,149.2,146.53333333333333,25.6,44.2,40.32,36.406666666666666,80.0,57.0,74.6,64.66666666666667,1.0,1.0,1.8,1.8,1,3,1
119,0,148,36.2,30,0,0,0,1,1,59,0.5037739770455267,-0.8638355052043954,159.0,158.0,147.2,143.66666666666666,46.8,39.0,39.760000000000005,35.67333333333333,81.0,88.0,63.0,62.6,1.0,2.0,1.6,1.7333333333333334,0,1,0
